id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
48,DMN15332LS,66,0,0,first_order,1736.5118194529966,1.5852220058441162,92,0.13937684528997252,0.0,129,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,DMN15333LS,99,0,0,first_order,1672.3016939420384,1.2998900413513184,54,0.09198433598091378,0.0,80,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,DMN37142LS,66,0,0,first_order,428.68001314315467,0.1460590362548828,8,0.016560888847372255,0.0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,DMN37143LS,99,0,0,max_time,280.7229898201369,30.007383823394775,1440,1.0627338714144965,0.0,1818,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,ECKERLE4LS,3,0,0,first_order,0.0014635887487274724,0.001413106918334961,39,5.730495459768323e-10,0.0,94,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,EG2,1000,0,0,first_order,-998.9473933009841,0.0025548934936523438,4,1.6292032054816239e-6,0.0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,EGGCRATE,2,0,0,first_order,9.488197339106257,0.00020003318786621094,8,1.6309505574467637e-8,0.0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,ELATVIDU,2,0,0,first_order,54.75111864223129,0.00017499923706054688,10,4.6924190199096226e-6,0.0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,ENGVAL2,3,0,0,first_order,3.4901063739662773e-16,0.0008099079132080078,33,1.0893305384918686e-6,0.0,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,ENSOLS,9,0,0,first_order,788.5397866669995,0.00797414779663086,33,3.900075186357345e-6,0.0,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,ERRINROS,50,0,0,first_order,39.90415393021552,0.0029158592224121094,133,0.0016597351550267621,0.0,166,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,ERRINRSM,50,0,0,first_order,37.729902908355996,0.009470224380493164,331,0.0017869420895882627,0.0,433,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,EXP2,2,0,0,first_order,8.376021993003101e-19,0.0003008842468261719,11,6.680697548248533e-10,0.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,EXPFIT,2,0,0,first_order,0.24051059399905822,0.00029206275939941406,14,1.2985469933579672e-7,0.0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,EXTROSNB,1000,0,0,first_order,1.122562729177771e-10,0.007035970687866211,28,0.0005432072786736264,0.0,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,FBRAIN3LS,6,0,0,max_time,0.24096143854714638,30.00522208213806,7636,0.012459606351680166,0.0,11166,10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,FLETCHCR,1000,0,0,first_order,5.965843711246691e-16,1.113011121749878,5076,6.661013354443411e-7,0.0,5550,5543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,GAUSS1LS,8,0,0,first_order,1315.8222432415341,0.5338730812072754,2914,0.002241732873191394,0.0,4429,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,GAUSS2LS,8,0,0,first_order,1247.528209335864,0.524799108505249,2992,0.010895171180391038,0.0,4460,3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,GAUSS3LS,8,0,0,first_order,1244.484636057847,0.7100310325622559,4097,0.003005536052138931,0.0,6043,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,GAUSSIAN,3,0,0,first_order,1.1279327696189579e-8,0.00015401840209960938,5,1.674975889121607e-12,0.0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,GBRAINLS,2,0,0,first_order,28.51585818940283,0.0205991268157959,14,5.455691325660073e-6,0.0,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,GENROSE,500,0,0,first_order,1.0000000000000144,0.13481998443603516,1117,3.925049211616849e-6,0.0,1231,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,GROWTHLS,3,0,0,first_order,3542.14903046,0.0001690387725830078,1,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,GULF,3,0,0,first_order,6.64385753176481e-16,0.008269071578979492,60,2.729059948126646e-7,0.0,88,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,HAHN1LS,7,0,0,first_order,55530.953492718145,0.00020503997802734375,1,2.0653202317362252e-10,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,HAIRY,2,0,0,first_order,20.0,0.0005271434783935547,28,4.5825762289624506e-8,0.0,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,HATFLDD,3,0,0,first_order,2.546894620815663e-7,0.0005929470062255859,33,2.533630249664259e-8,0.0,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
